id,answer_32214,answer_32215,answer_32268
16,0.25,0.75,1
31,0,1,0
33,0.75,0.25,0
41,0.75,0.75,0
42,0.25,0.75,0
44,0.75,0,0.75
58,0.25,1,0
67,0.75,1,0
74,0,0,1
95,1,0.75,0.75
111,0.75,0.75,0
114,1,0.75,0
119,0,1,0
123,0,1,0
124,0.75,0.75,0
133,0,1,0
148,0,1,0
160,0,0.75,0.25
171,1,0,1
179,0,0.75,0
182,0,1,0
187,0,1,0.75
188,0.25,1,0
195,0,1,0
206,0,1,0
211,0.25,1,0
214,0,1,0
217,0,1,0
253,0,0.75,0
264,0,1,0
295,0,0.75,0
297,0,1,0
299,0,1,0
301,0.25,1,0
313,0,1,0
325,0,0.75,0
331,1,0.75,0
340,1,0.25,0
346,1,0.75,0.25
368,0,0.25,1
374,1,0.25,0
386,0.75,1,0
392,0,1,0
398,0.25,0.75,0.25
406,0.25,1,0
409,0.75,1,0
411,0,1,0
433,0,0,1
440,0,1,0
449,0.25,0.75,0
469,0.75,0.25,1
521,1,0.75,1
535,0,1,0
536,0,1,0
545,0,0.75,0.75
558,0,1,0
563,0,1,0
571,0,1,0
576,0,0.75,0
605,0,1,0
614,1,1,0
617,0.75,0.25,0
625,0,1,0
628,0,1,0
637,0.25,0.25,0
639,0,1,0
650,0,0.75,0
668,0,1,0
674,0,1,0
690,0.75,0,1
701,0.75,0.25,0
712,0.75,0.75,0
715,0.75,0.25,0
741,1,0.75,0
756,0.25,1,0
760,0,1,0
780,0.75,0.25,0
786,0.25,0.25,0
795,1,0.75,0
806,0,1,0
810,0.75,1,0
814,0.75,1,0
834,0.75,1,0.25
847,1,0.75,0
848,0,1,0
857,0.75,1,0
863,0.75,1,0
873,1,0.75,0
875,1,0.75,0
880,0,0.75,0.25
889,0.25,0.75,0
900,0,0.75,0
905,0.25,0.25,1
911,1,0.75,0
912,0.25,0,1
914,1,0,0
918,0,1,0
930,1,0,0.25
950,0,1,0
981,0.75,0.75,0
983,0.75,0,1
990,1,0.25,0
991,1,1,0
1012,0.75,0,0
1026,0.75,1,0
1048,0.25,0,1
1067,0,1,0
1071,0,0.75,1
1077,0,0.25,0
1103,0,0.75,0
1138,0,1,0
1164,0,1,0
1174,1,0.75,0
1183,0,1,0
1196,0,1,0
1242,0.75,1,0
1251,1,0,0
1265,0,1,0
1268,0.75,1,0
1273,0.75,1,0
1290,1,0.75,0
1293,0,0.75,0
1297,1,0,0
1331,0,0.75,0
1334,0,1,0
1368,0.75,0.75,0
1373,0,1,0
1374,0,0.75,0.25
1382,0,1,0
1391,1,0.75,0
1395,0.25,1,0
1442,0.75,0.75,0
1453,0.25,0.75,0
1458,0.75,0,1
1471,0,1,0
1497,1,0,0.75
1502,0.25,0,1
1531,0.75,1,0
1533,1,0,0
1569,0.75,0,0.75
1574,0,1,0.75
1585,0.75,0,0.75
1592,0.25,0.75,0.75
1611,0.75,1,0
1659,1,1,0
1665,0,0,1
1670,0,1,0
1694,0,1,0
1728,0.75,1,0
1740,0.75,0.75,0.75
1754,0.75,1,0
1769,1,0,0
1770,1,0.25,0
1783,0,1,0
1786,0,0.75,0
1787,0,1,0
1791,0,0,0.75
1822,1,0.25,0
1845,0,1,0
1868,1,0,0
1871,0.25,1,0
1883,0.25,0,1
1885,0,1,0
1893,0.25,1,0
1898,0,1,0
1904,0.75,0,1
1918,0,1,0
1919,1,0.75,0
1926,0,1,0
1927,1,0.75,0
1932,0.75,0.25,0
1942,0.75,1,0
1948,0,1,0
1955,0.75,0.25,0
1964,1,0.25,0.75
1982,1,0.25,0
1994,0,0,1
2010,0,1,0
2019,0,1,0
2044,0,1,0
2060,0,0.75,0
2111,0.75,0.25,0
2112,0.75,0.75,0
2129,0.25,1,0
2132,0,1,0
2150,0,0,1
2172,0.25,0.75,0
2177,0,0.75,0
2189,0.75,0.75,0
2201,0.75,0.75,0
2217,0.75,0,0
2219,0,1,0
2232,0.75,0.75,0
2236,0.25,1,0
2245,1,0,1
2246,0.25,0.75,0.25
2253,0,1,0
2260,1,0,1
2263,0.75,0.25,0
2273,0.75,0,0.75
2278,0,1,0
2281,0.75,1,0
2293,0,1,0
2298,0,1,0
2312,1,0,1
2316,1,0.25,0
2320,0.25,1,0
2322,0.25,1,0
2331,0.75,1,0
2334,0.75,0.25,0.75
2338,1,0,0.75
2339,0.25,1,0
2341,0.25,0.75,0
2346,0,1,0
2367,0.75,1,0
2371,0.75,0.25,0
2378,0.25,0.75,0
2384,0.75,0,1
2420,0,1,0.25
2421,1,0,0
2447,0.25,1,0
2475,0.75,0.75,0
2481,0,1,0
2482,1,0,0
2498,0.75,1,0
2505,0.75,0.25,0
2547,1,0.25,0.25
2548,0.75,1,0
2551,0,0.75,0
2553,0.25,0.75,0
2566,0,0,1
2568,0.75,1,0
2593,0,1,0
2596,0.75,0,1
2601,0,1,0
2609,1,0.25,0.25
2630,0.75,0.75,0
2633,1,0.25,0
2640,0.25,1,0
2650,0,1,0
2654,1,1,0
2656,1,0,0
2661,0,1,0
2665,0,1,0
2678,0,1,0
2696,0,0,1
2707,0,0,1
2709,1,0.75,0
2710,1,0,0
2715,0,1,0
2754,0,1,0
2755,0.75,0.75,0
2756,0.75,0.75,0
2759,1,0.25,0
2761,0.25,0.75,0
2762,0.25,0,0.75
2776,0.75,0.25,0
2785,1,0,0
2832,0.75,0.25,0
2843,0.75,0.75,0
2847,0.75,0.25,0.75
2867,1,0.25,0
2869,0,1,0
2879,1,0.25,0.25
2894,1,1,0
2899,0.75,0.75,0
2907,0,1,0
2910,1,0.25,0
2940,0,1,0
2941,0.75,0.75,0
2943,0.25,1,0
2968,1,0.25,0
2980,0.25,1,0
2986,0,1,0
3008,0,1,0
3025,0,0,1
3037,0.25,0.75,0.75
3039,1,0,1
3041,0,0.75,0
3052,0.75,0.25,0.25
3054,0,0,0.75
3059,0,1,0
3063,0,1,0
3064,0,1,0
3080,0,1,0
3084,0.75,1,0
3089,1,0,0
3095,0.25,1,0
3106,0.75,0.75,0
3113,0,1,0
3124,0,1,0
3128,0.75,0,1
3134,0.75,0.75,0
3139,0.25,0.25,0
3158,0.75,0.25,0
3161,0,1,0
3188,0,1,0
3200,0,1,0
3204,0,0.75,0
3214,0,1,0
3228,1,0.25,0.25
3235,1,0,1
3244,1,0.25,0
3248,1,0.25,0.25
3260,1,0,1
3266,0.25,0.25,0
3273,0,1,0
3285,1,0.75,0
3293,0.75,0.75,0
3300,0,1,0
3301,0,1,0
3310,0,1,0
3316,1,0.25,0
3326,0.75,0.25,0
3330,0.25,1,0
3349,1,0,1
3365,1,0.25,0
3367,0.75,0.75,0
3373,1,0,0
3375,0,0.25,0
3376,0,1,0
3406,0.75,0.75,0
3424,0,1,0
3440,0.75,0.75,0
3448,0,0,0
3469,1,0.25,0
3474,0,0.75,0
3493,0.75,0.75,0
3494,0,1,0
3500,0.75,0.75,0
3503,0,1,0
3529,0.75,0.75,0
3532,0.75,0.25,0
3565,0,1,0
3572,0,1,0
3581,1,0,0
3585,1,0,0
3592,0.75,0.75,0
3593,0.25,1,0
3596,0.25,0.25,0
3604,0.75,0.25,0
3608,1,0.75,0
3645,0.75,0.25,0
3647,0.75,0,0
3649,0.25,0,1
3656,0.75,0.75,0.25
3665,1,0.75,0
3666,0,0.75,0
3682,0,1,0.25
3694,0.75,0.25,0
3701,0.75,0.75,0
3706,0.75,0.75,0
3709,1,0.75,0
3719,1,0.75,0
3720,0.75,0.25,0.25
3749,0.75,0.75,0
3755,0.75,0.25,0.75
3758,0.25,1,0
3760,0,1,0
3786,0.25,1,0
3798,0.75,0.25,0.75
3829,0,1,0
3846,1,0.25,0
3863,0.75,0.75,0.25
3885,0.75,0.25,0.25
3898,0.75,0,1
3900,1,0.25,0
3932,0,1,0
3934,1,0.75,0
3961,1,0.75,0
3967,0,1,0
3974,0,0,1
3975,0,0.25,0
4000,0.25,1,0
4003,0.25,0.25,0
4012,0.75,0,0.25
4025,0.75,1,0
4030,0,0.75,0
4049,0,0.75,0
4083,0.75,1,0
4099,1,0.25,0.75
4100,0,1,0
4120,1,0.25,0
4122,0.25,0,1
4127,0.75,0.25,0
4146,0,1,0
4149,0,0,1
4156,0,0,0.25
4164,1,0.25,0
4179,0,1,0
4183,0,1,0
4184,0.25,0.75,0
4226,0.75,0.25,0.25
4249,0.75,0.25,0.25
4257,0.25,1,0
4299,0.25,0.75,0
4316,1,0.75,0
4319,0.75,0.25,0
4322,0.75,1,0
4324,0.25,0.25,0
4325,0.75,0.25,0
4359,0,0.75,1
4368,1,0.25,0
4371,0,1,0
4396,0.75,0.75,0
4412,0.75,0.75,0
4417,0,1,0
4444,0,1,0
4454,0.25,1,0
4455,0.25,0.25,0
4456,1,0,0
4459,0.25,1,0
4463,1,1,0
4475,0,0,1
4488,0,0.75,0
4489,1,0.25,0
4500,0,1,0
4504,0,1,0
4538,0,1,0
4539,1,0.75,0
4554,0.75,0.25,0.75
4557,0.75,0.25,0
4571,0.25,0.25,0
4611,1,0.25,0
4617,0.75,0.75,0
4622,0.25,0.25,0
4627,0.25,1,0
4639,0,1,0
4643,0,0.25,0.75
4651,0,1,0
4655,0.25,1,0.25
4662,0,1,0
4663,0.25,0.25,0
4679,0,0.75,0
4689,0.25,0.25,0
4696,0,1,0
4699,1,0.75,0
4701,0,0.75,0
4702,0.75,1,0
4703,0,1,0
4710,0.75,1,0
4732,0.25,1,0.25
4757,0.75,0.75,0
4761,1,0.75,0
4765,0.75,0.75,0.25
4787,0,0,0
4796,0,0.25,0
4807,0,1,0
4808,1,0.25,0
4814,0,1,0
4858,0,1,0
4866,0,1,0
4883,0.25,0.75,0
4884,0.25,0.75,0
4885,0,1,0
4897,1,0.75,0
4900,0,0.75,0
4927,0.75,0,1
4929,0,1,0
4937,0.75,0.75,0
4942,0.75,0.25,0
4948,0,1,0
4951,0,1,0
4953,1,0.25,0
4954,0.75,0.75,0
4963,0,1,0
4965,0,1,0
4975,0,0.75,0
4987,0.75,1,0
4988,1,0.25,0
4991,1,0,0.75
5003,1,0.75,0
5016,1,1,0
5017,0.75,0.75,0
5027,0,1,0
5040,1,0.25,0
5045,0.75,1,0
5046,1,1,0
5072,1,0.25,0.75
5076,0,1,0
5080,0.75,0,0.25
5088,0.75,0.75,0
5098,1,0.75,0
5110,1,0.75,0
5114,0.25,0,0.75
5121,1,0.75,0
5122,0.25,0.75,0
5123,0.75,0.75,0
5134,0,1,0
5163,0,1,0
5166,1,0.75,0
5168,0.25,0.25,0.25
5173,1,0.75,0
5178,0,1,0
5180,0.75,0,1
5192,1,0,1
5198,1,0,1
5199,1,0.25,0
5206,0.25,1,0
5208,0.75,0.25,0
5216,0.75,1,0.25
5236,0.25,0.25,0.25
5237,0.25,0.25,1
5238,1,0.75,0
5242,1,0.25,0.25
5279,0.25,0.75,0
5285,0.25,0.25,0
5290,0,0.75,0
5297,1,0,1
5313,0,1,0
5319,1,0.25,0
5320,0,1,0
5323,1,0.25,0
5326,1,0.25,1
5332,0.75,0.75,0
5340,0,1,0
5358,0,1,0
5385,0.25,0.25,0.25
5402,0.25,0.75,0
5407,1,0,0
5413,1,0,0
5420,0.75,0.75,0
5445,0,1,0
5459,0,1,0
5460,0.75,0.75,0
5483,0.25,1,0
5484,0.25,0.75,0
5521,1,0,0
5526,0,1,0
5544,0,0.25,0
5555,0.75,1,0
5558,0,0,1
5575,0,1,0
5581,1,0.75,0
5593,0.25,0.75,0
5594,1,0.75,0
5597,0.25,0.75,0
5598,1,0.75,0
5609,0.25,1,0
5614,0,1,0.25
5624,0.75,0,1
5628,0.75,1,0
5644,0,0.25,0
5647,1,0.75,0
5654,0.25,0.25,0
5655,1,0.25,0
5680,1,0,1
5684,0,1,0
5687,0,1,0
5692,0.75,0.75,0
5700,0,1,0
5704,0.75,0.75,0
5708,0,1,0
5733,0,0,1
5747,0.25,1,0
5760,0.75,0.75,0
5763,0.25,1,0
5784,0,1,0
5790,0,1,0
5801,0,1,0
5812,0.75,0.25,0
5823,0.75,0.75,0
5829,1,0.75,0
5847,0,1,0
5855,0,0.75,1
5887,0,1,0
5899,0.75,0.75,0
5905,0,0.75,0
5908,0.75,0.25,0
5915,0.75,0,0.75
5921,1,0.75,0
5922,0,1,0
